scientific_name,common_name,traditional_property,active_compounds,clinical_targets
Emblica officinalis,Amalaki,Rasayana,Ascorbic acid and Gallic acid,Cellular aging and Oxidative stress
Terminalia chebula,Haritaki,Rasayana,Chebulinic acid,Cytoprotection and Antioxidant
Tinospora cordifolia,Guduchi,Rasayana,Tinocordifolioside,Immunomodulation and Hepatoprotection
Bacopa monnieri,Brahmi,Rasayana,Bacosides,Cognitive enhancement and Neuroprotection
Centella asiatica,Mandukaparni,Rasayana,Asiaticoside,Neuroprotection and Free radical termination
Glycyrrhiza glabra,Yashtimadhu,Rasayana,Glycyrrhizin,Anti-inflammatory and Antioxidant
Convolvulus pluricaulis,Shankhapushpi,Rasayana,Scopoletin,Neurotoxic reduction and Stress modulation
Withania somnifera,Ashwagandha,Rasayana,Withanolides,Oxidative stress reduction
Asparagus racemosus,Shatavari,Rasayana,Steroidal saponins,Immunomodulation and Cellular repair
Piper longum,Pippali,Rasayana,Piperine,Anti-inflammatory and Bioavailability enhancement
